record_id,country,state_emirate,city_tier,economic_zone,industry,company_size,job_category,job_title,job_level,age_group,gender,education_level,years_of_experience,employment_type,remote_work_percentage,automation_risk_score,ai_augmentation_potential,ai_exposure_index,task_automation_percentage,ai_collaboration_score,company_ai_adoption_level,ai_tool_usage_frequency,generative_ai_usage,ai_implementation_year,job_transformation_stage,primary_skill_type,technical_skill_score,soft_skill_score,digital_literacy_score,ai_literacy_score,skill_gap_index,reskilling_urgency_score,annual_training_hours,employer_training_investment_usd,certifications_held,annual_salary_usd,salary_growth_rate_yoy,job_security_index,job_displacement_probability,career_growth_potential,new_role_emergence_score,productivity_index,productivity_change_with_ai,labor_market_demand_index,wage_premium_for_ai_skills,observation_year,demand_forecast_2025,demand_forecast_2030,estimated_years_to_significant_automation,workforce_transition_timeline,projected_salary_2030_usd,ai_anxiety_level,ai_optimism_level,reskilling_willingness,technology_acceptance_score,job_satisfaction_score,work_life_balance_score,ai_benefit_perception,career_pivot_consideration,company_ai_investment_millions,department,team_size,ai_tools_available_count,organizational_ai_culture_score
11,India,Tamil Nadu,Tier 1,Tech Hub,Manufacturing,Medium,Finance & Accounting,Controller,Mid,25-34,Female,Associate,8,Full-time,0,41.9,69.4,100.0,53.3,71.1,50.7,Never,True,2020,Optimized,Analytical,38.7,46.1,70.6,46.0,50.7,55.6,52,2351.09,2,20775,10.2,57.2,32.8,100.0,73.4,106.8,51.6,71.3,6.9,2020,Stable,Stable,9,Long-term (5-10yr),23332,3,3,5,64.6,72.4,63.9,Negative,False,25.55,Human Resources,45,12,59.0
12,India,Sikkim,Tier 3,Mixed,Transportation & Logistics,Large,Data & Analytics,Data Analyst,Mid,35-44,Female,Associate,16,Full-time,14,34.6,64.8,77.3,52.7,48.1,100.0,Weekly,True,2017,Optimized,Analytical,85.0,78.5,57.2,47.7,21.6,18.5,94,8170.12,3,16998,12.7,58.1,13.7,82.3,49.5,144.5,23.0,72.2,22.2,2020,Growing,Growing,12,Medium-term (3-5yr),18654,4,3,4,75.6,59.7,57.2,Neutral,False,699.15,Finance,53,10,100.0
13,India,Telangana,Tier 1,Tech Hub,Technology,Small,Engineering & Technical,Cloud Architect,Senior,25-34,Male,Bachelor,8,Freelance,10,29.3,100.0,87.4,23.2,87.4,60.6,Rarely,True,2020,Optimized,Technical,100.0,46.8,61.5,52.4,10.8,16.9,47,598.92,2,53225,5.2,85.3,31.7,100.0,83.4,107.1,39.2,88.6,14.0,2020,Stable,Stable,16,Long-term (5-10yr),58185,2,5,3,95.8,89.3,46.4,Very Negative,True,1.38,Administration,5,9,77.1
14,UAE,Ajman,Secondary,Mixed,Education,Medium,Sales & Marketing,Brand Manager,Mid,45-54,Female,Bachelor,28,Full-time,37,15.5,100.0,90.8,12.8,69.0,69.8,Weekly,True,2016,Optimized,Interpersonal,81.1,92.6,90.6,61.9,10.8,4.9,74,5584.26,5,70441,13.9,85.4,13.9,90.4,93.9,145.4,20.8,66.2,22.9,2027,Stable,High Growth,17,Short-term (1-2yr),79266,3,3,3,73.0,65.8,81.4,Positive,False,103.18,Operations,14,3,71.6
15,India,Karnataka,Tier 1,Tech Hub,Media & Entertainment,Large,Data & Analytics,Data Engineer,Mid,55-64,Male,Associate,40,Full-time,19,13.0,100.0,100.0,4.4,87.6,96.8,Never,False,2027,Optimized,Analytical,100.0,86.6,94.4,51.6,12.6,13.1,81,6848.95,9,42418,12.7,83.4,22.6,68.7,75.3,150.0,27.6,93.6,14.8,2027,Growing,Declining,20,Medium-term (3-5yr),43827,3,5,4,89.7,59.5,64.3,Very Negative,False,100.67,Finance,35,13,96.0
16,India,Maharashtra,Tier 1,Financial Center,Technology,Startup,Research & Development,Product Manager,Entry,18-24,Male,Bachelor,1,Full-time,38,11.1,100.0,100.0,4.4,93.0,87.4,Monthly,False,2020,Scaling,Technical,52.6,40.7,54.7,47.1,28.3,23.4,49,956.13,1,12533,9.0,68.8,14.4,89.8,75.0,108.5,43.3,69.1,24.3,2020,Stable,High Growth,20,Medium-term (3-5yr),9921,4,5,4,91.2,69.1,68.1,Negative,False,1.26,Legal,1,12,87.2
17,UAE,Dubai,Major,Financial Center,Finance & Banking,Startup,Operations & Logistics,Inventory Analyst,Entry,35-44,Female,High School,13,Full-time,67,80.7,98.2,79.9,84.7,88.7,76.6,Weekly,False,2022,AI-Native,Manual,28.7,33.0,43.1,46.4,73.9,67.8,65,1202.37,2,53689,1.3,52.2,64.3,62.0,70.3,99.0,35.3,55.7,21.0,2022,Growing,Declining,4,Short-term (1-2yr),74569,4,3,4,71.7,60.8,100.0,Negative,True,2.8,Legal,9,10,77.2
18,India,Maharashtra,Tier 1,Financial Center,Healthcare,Medium,Data & Analytics,Data Engineer,Director,35-44,Male,Master,28,Full-time,60,12.2,100.0,96.9,15.5,79.2,57.7,Daily,False,2020,AI-Native,Managerial,100.0,100.0,100.0,94.3,0.0,6.5,23,3520.57,8,141405,13.9,89.5,14.0,100.0,69.6,138.8,67.5,93.7,29.8,2020,Stable,Growing,17,Medium-term (3-5yr),119201,2,4,2,100.0,73.4,79.9,Positive,True,7.95,Data Science,33,3,73.0
19,India,Andhra Pradesh,Tier 2,Tech Hub,Transportation & Logistics,Startup,Research & Development,Research Associate,Junior,25-34,Male,Associate,8,Full-time,54,51.4,94.3,78.7,20.7,78.1,46.9,Never,True,2016,AI-Native,Technical,56.3,52.6,51.3,29.9,58.5,44.1,90,726.98,4,13633,13.2,58.7,60.9,76.5,88.1,118.2,32.8,67.3,11.5,2024,High Growth,Stable,12,Short-term (1-2yr),17106,3,5,5,90.6,68.5,63.0,Neutral,False,0.13,Engineering,10,10,51.5
20,India,Uttar Pradesh,Tier 2,Mixed,Transportation & Logistics,Medium,Customer Service,Help Desk Analyst,Mid,35-44,Male,Bachelor,19,Full-time,44,70.0,62.1,60.5,33.2,52.6,63.4,Daily,True,2024,Early Adoption,Interpersonal,46.1,91.0,80.7,39.5,49.4,43.9,93,3894.98,4,23528,2.9,34.4,69.6,97.1,35.2,110.4,34.4,64.5,5.3,2025,Declining,Stable,5,Immediate,30231,4,3,3,74.6,85.5,29.9,Neutral,False,38.43,Human Resources,51,11,68.3
21,India,Maharashtra,Tier 1,Financial Center,Finance & Banking,Startup,Human Resources,HR Coordinator,Mid,35-44,Female,Doctorate,16,Full-time,0,75.5,90.4,84.3,31.4,100.0,54.9,Rarely,True,2023,AI-Native,Interpersonal,88.6,94.3,100.0,60.3,26.4,31.1,44,2067.29,5,39307,6.8,51.5,39.9,95.6,59.6,150.0,27.1,71.8,30.1,2023,Stable,Declining,5,Medium-term (3-5yr),56764,3,2,5,100.0,82.2,61.4,Negative,False,0.19,Operations,8,10,48.5
22,India,Gujarat,Tier 1,Industrial,Healthcare,Medium,Finance & Accounting,Financial Analyst,Senior,35-44,Male,Bachelor,22,Full-time,50,65.6,88.7,53.7,54.2,48.1,54.4,Weekly,False,2025,Pre-AI,Analytical,82.1,88.5,93.8,68.8,21.5,25.0,33,1528.87,4,50471,-0.9,57.8,64.1,98.4,54.4,103.6,36.9,67.9,21.3,2026,Stable,Growing,9,Immediate,64157,5,3,3,94.9,80.4,62.5,Positive,False,36.66,Design,51,4,66.1
23,India,Bihar,Tier 3,Mixed,Transportation & Logistics,Medium,Sales & Marketing,Digital Marketing Specialist,Senior,25-34,Female,Bachelor,7,Contract,44,36.4,92.4,81.5,25.5,100.0,35.9,Never,True,2021,Early Adoption,Interpersonal,79.9,74.1,88.8,25.1,31.7,45.1,97,1708.15,1,22736,10.6,75.9,33.7,77.4,63.2,132.5,60.3,100.0,1.7,2022,Growing,Growing,9,Medium-term (3-5yr),29597,3,3,3,100.0,100.0,74.5,Neutral,False,7.74,Data Science,62,7,61.0
24,UAE,Abu Dhabi,Major,Administrative,Technology,Large,Research & Development,Principal Scientist,Senior,55-64,Male,Bachelor,40,Full-time,38,17.2,99.2,86.4,0.0,85.3,100.0,Daily,True,2016,Optimized,Technical,100.0,100.0,100.0,66.8,0.0,0.0,59,19425.05,10,191367,11.1,97.4,0.0,89.7,50.4,140.4,80.8,95.1,30.6,2026,Growing,Stable,20,Medium-term (3-5yr),213290,3,4,3,94.6,86.3,75.4,Positive,False,1372.57,Engineering,81,10,100.0
25,India,Telangana,Tier 1,Tech Hub,Technology,Small,Sales & Marketing,Brand Manager,Senior,18-24,Female,High School,0,Full-time,20,0.0,100.0,99.4,0.0,91.5,49.2,Monthly,True,2017,Early Adoption,Interpersonal,56.5,66.6,60.6,40.5,31.6,20.3,44,748.31,2,53160,1.8,89.3,0.0,93.1,68.1,84.3,58.1,100.0,13.7,2020,Declining,Stable,12,Long-term (5-10yr),48729,1,4,4,97.9,79.9,36.5,Positive,False,0.76,Research,5,5,64.9
26,India,Madhya Pradesh,Tier 2,Industrial,Retail & E-commerce,Enterprise,Engineering & Technical,Security Engineer,Mid,25-34,Female,Doctorate,1,Full-time,26,22.5,100.0,98.6,30.1,88.3,89.3,Weekly,True,2017,Early Adoption,Technical,100.0,75.2,78.6,68.4,2.4,0.4,125,14618.08,1,19910,11.3,62.0,6.4,100.0,85.6,140.2,29.0,75.7,28.6,2025,High Growth,Growing,13,Long-term (5-10yr),18800,4,5,5,100.0,64.2,61.7,Neutral,False,1134.62,Design,112,4,95.5
27,India,Tamil Nadu,Tier 1,Tech Hub,Professional Services,Large,Customer Service,Customer Experience Analyst,Mid,25-34,Female,High School,6,Gig,0,37.9,100.0,67.5,32.7,83.2,72.2,Daily,True,2025,Early Adoption,Interpersonal,43.8,67.5,61.8,48.7,41.1,28.5,111,6489.66,3,23367,9.6,54.3,24.4,100.0,72.3,93.7,55.2,90.2,17.9,2025,Stable,High Growth,15,Long-term (5-10yr),23697,4,4,5,99.9,80.0,10.2,Positive,False,464.95,Legal,97,4,65.5
28,India,Tamil Nadu,Tier 1,Tech Hub,Media & Entertainment,Enterprise,Creative & Design,Copywriter,Senior,25-34,Male,Bachelor,14,Part-time,18,63.9,81.9,77.4,42.7,98.9,82.8,Never,True,2018,Pre-AI,Creative,94.3,93.8,78.5,63.5,33.9,46.3,97,15672.43,3,46328,4.3,39.2,54.0,100.0,55.4,117.8,35.4,100.0,28.5,2025,High Growth,Growing,5,Medium-term (3-5yr),70573,4,2,5,100.0,93.0,66.8,Positive,False,561.32,Administration,124,11,79.7
29,India,Delhi NCT,Metro,Administrative,Technology,Startup,Research & Development,Innovation Manager,Lead,35-44,Male,Bachelor,18,Full-time,41,14.6,100.0,90.0,9.6,74.5,63.4,Daily,True,2020,Scaling,Technical,81.1,86.3,100.0,46.6,0.0,0.0,51,560.16,5,85132,14.4,68.9,0.0,90.6,63.7,150.0,49.7,90.8,14.5,2023,Stable,Stable,16,Medium-term (3-5yr),98616,4,5,4,97.8,84.5,90.8,Negative,False,0.52,Marketing,3,4,76.9
30,India,Andhra Pradesh,Tier 2,Tech Hub,Manufacturing,Large,Customer Service,Technical Support Specialist,Entry,25-34,Female,Master,1,Full-time,17,62.6,74.0,74.3,66.3,70.7,71.2,Daily,False,2022,Scaling,Interpersonal,50.2,58.4,62.6,52.4,39.0,42.2,100,7251.4,1,11932,7.4,34.6,54.9,83.5,78.0,126.7,26.6,90.4,21.7,2022,Declining,Growing,11,Long-term (5-10yr),12446,3,3,3,93.9,97.0,34.2,Negative,False,441.56,Finance,121,9,73.2
31,India,Haryana,Tier 1,Tech Hub,Technology,Enterprise,Research & Development,R&D Engineer,Senior,25-34,Female,Associate,6,Full-time,48,19.8,100.0,100.0,19.4,81.4,80.9,Daily,True,2016,Optimized,Technical,54.8,59.8,86.9,57.6,24.6,17.8,85,13737.85,2,52875,4.3,84.3,12.6,100.0,80.4,116.0,53.6,72.2,30.3,2023,Stable,Stable,13,Stable,52077,2,4,5,100.0,49.1,61.9,Neutral,True,1254.59,Sales,236,11,88.1
32,UAE,Abu Dhabi,Major,Administrative,Finance & Banking,Enterprise,Creative & Design,Copywriter,Mid,35-44,Female,Bachelor,9,Full-time,63,55.4,96.9,85.4,46.2,91.4,96.1,Monthly,False,2023,Optimized,Creative,73.1,58.9,86.1,46.2,32.5,31.0,87,25000.0,1,89710,-1.0,52.0,19.5,94.2,84.6,106.2,49.7,86.9,26.6,2027,Declining,Declining,10,Short-term (1-2yr),123017,4,3,3,92.3,75.7,88.5,Negative,True,5000.0,Sales,221,8,97.3
33,India,Karnataka,Tier 1,Tech Hub,Technology,Enterprise,Human Resources,Talent Acquisition Lead,Junior,25-34,Male,Master,1,Full-time,14,41.7,100.0,76.4,17.9,86.3,97.6,Daily,True,2023,Scaling,Interpersonal,50.2,93.6,53.5,6.3,69.0,72.8,102,16039.34,0,22200,2.9,56.3,23.1,78.7,81.2,101.8,58.6,68.9,11.4,2024,Stable,Declining,12,Long-term (5-10yr),21030,4,3,4,72.6,74.6,59.1,Positive,True,2786.24,Engineering,211,12,92.2
34,India,Maharashtra,Tier 1,Financial Center,Healthcare,Medium,Sales & Marketing,Sales Representative,Entry,25-34,Male,Associate,4,Full-time,31,51.3,100.0,93.7,23.7,87.5,68.8,Daily,False,2016,Scaling,Interpersonal,26.8,54.3,50.3,31.0,61.7,37.4,41,2606.87,0,11925,13.0,46.9,47.6,91.9,71.7,134.0,27.0,88.4,19.9,2021,Stable,Growing,8,Long-term (5-10yr),15682,3,4,5,64.1,84.7,26.3,Positive,False,23.21,Human Resources,16,7,75.6
35,UAE,Ras Al Khaimah,Secondary,Industrial,Healthcare,Medium,Engineering & Technical,Software Engineer,Senior,25-34,Male,High School,5,Full-time,31,15.3,100.0,78.7,16.5,79.3,71.6,Weekly,False,2024,Early Adoption,Technical,63.0,55.4,48.9,54.8,36.8,28.5,75,7158.34,3,81301,3.6,59.0,17.0,68.5,75.4,97.4,72.1,89.2,22.9,2024,Growing,Stable,20,Short-term (1-2yr),65439,1,3,4,90.6,85.7,28.4,Negative,False,100.91,Customer Support,18,11,83.6
36,India,Tamil Nadu,Tier 1,Tech Hub,Energy & Utilities,Medium,Operations & Logistics,Inventory Analyst,Manager,35-44,Male,Associate,27,Freelance,69,71.4,55.2,64.8,57.9,49.3,80.5,Never,False,2024,AI-Native,Managerial,69.4,87.8,100.0,45.3,13.8,45.2,73,2857.12,5,94651,5.9,61.9,75.3,68.8,59.9,133.1,27.4,68.5,10.5,2029,Declining,Declining,10,Short-term (1-2yr),100340,5,4,4,100.0,96.7,87.3,Positive,True,46.18,Design,51,13,68.8
37,India,Maharashtra,Tier 1,Financial Center,Professional Services,Large,Creative & Design,Art Director,Mid,45-54,Male,Master,21,Part-time,0,16.6,100.0,91.3,12.0,85.4,82.3,Monthly,True,2024,Early Adoption,Creative,65.7,74.2,85.1,46.2,34.7,24.3,68,5690.35,4,38971,10.9,80.8,28.0,59.7,47.2,126.4,75.3,100.0,20.4,2025,Stable,High Growth,15,Stable,47130,4,5,4,81.4,75.6,18.2,Neutral,True,416.22,Customer Support,44,7,83.0
38,India,Rajasthan,Tier 2,Mixed,Transportation & Logistics,Medium,Finance & Accounting,Controller,Director,45-54,Male,Bachelor,38,Full-time,11,48.5,100.0,51.9,26.9,87.2,61.4,Never,True,2025,Optimized,Analytical,100.0,100.0,100.0,58.7,20.5,20.4,111,2092.09,8,79657,12.1,64.1,22.0,75.4,78.3,148.5,48.4,55.6,33.3,2025,Stable,Growing,9,Long-term (5-10yr),102485,4,4,3,86.8,76.8,46.1,Positive,False,8.98,Customer Support,27,2,65.0
39,UAE,Dubai,Major,Financial Center,Healthcare,Medium,Research & Development,R&D Engineer,Mid,18-24,Male,Associate,0,Full-time,45,27.1,100.0,100.0,23.8,97.6,68.0,Daily,True,2025,Scaling,Technical,56.7,55.9,59.6,34.6,42.9,46.3,39,5124.68,0,65125,9.5,67.0,21.1,97.7,77.8,133.7,23.3,69.4,16.5,2030,Growing,Growing,10,Short-term (1-2yr),98604,3,4,3,83.3,66.3,58.3,Positive,False,89.76,Customer Support,61,11,76.2
40,India,Haryana,Tier 1,Tech Hub,Energy & Utilities,Enterprise,Research & Development,Research Associate,Entry,25-34,Male,Master,0,Full-time,31,46.3,100.0,80.2,20.8,78.6,87.7,Monthly,False,2024,Early Adoption,Technical,60.9,51.8,73.4,39.8,32.3,36.5,95,15167.65,1,12794,8.2,79.6,39.0,87.6,58.9,114.0,57.7,74.9,13.9,2024,Declining,Declining,9,Stable,16665,4,2,4,90.6,74.7,63.4,Positive,False,1378.67,Engineering,130,12,92.9
41,India,Punjab,Tier 2,Mixed,Energy & Utilities,Small,Customer Service,Customer Success Manager,Junior,35-44,Male,Master,12,Full-time,51,29.5,81.4,100.0,9.0,99.0,39.4,Never,True,2020,Early Adoption,Interpersonal,77.0,60.4,88.1,42.2,34.2,34.6,51,5.17,2,20191,11.6,85.8,0.0,70.5,68.9,124.0,52.8,78.9,15.9,2020,High Growth,High Growth,17,Stable,19409,3,3,4,72.9,78.4,54.5,Neutral,False,2.64,Engineering,12,7,51.1
42,India,West Bengal,Tier 1,Mixed,Transportation & Logistics,Large,Creative & Design,Creative Director,Mid,25-34,Male,Master,7,Full-time,24,17.7,100.0,73.2,3.3,93.2,62.2,Daily,False,2016,AI-Native,Creative,79.2,76.4,75.9,34.0,46.4,19.4,60,6671.34,3,23588,12.9,74.3,0.0,95.5,81.7,131.4,48.7,70.3,1.0,2024,High Growth,High Growth,17,Long-term (5-10yr),26067,3,4,5,100.0,66.6,67.0,Positive,False,197.79,Operations,88,10,77.9
43,India,Gujarat,Tier 1,Industrial,Healthcare,Medium,Engineering & Technical,Systems Administrator,Lead,35-44,Male,Bachelor,22,Freelance,62,40.9,100.0,84.4,51.2,57.0,73.2,Monthly,True,2021,Optimized,Technical,100.0,91.9,100.0,100.0,8.1,12.7,35,2600.92,4,69360,3.3,73.0,23.9,93.4,74.8,127.4,40.4,58.5,37.3,2021,Growing,Stable,14,Medium-term (3-5yr),67814,3,3,3,98.5,70.8,39.9,Very Positive,False,42.05,Finance,18,13,71.4
44,India,Tamil Nadu,Tier 1,Tech Hub,Finance & Banking,Medium,Engineering & Technical,DevOps Engineer,Director,65+,Male,High School,40,Full-time,21,22.7,100.0,74.3,1.6,75.1,54.2,Weekly,True,2023,Optimized,Managerial,100.0,98.9,100.0,71.8,18.1,27.7,84,3123.52,9,137672,14.3,83.4,22.5,70.8,76.2,120.1,63.4,100.0,26.8,2023,Growing,Stable,15,Medium-term (3-5yr),168512,5,4,3,71.8,78.6,51.1,Negative,False,37.57,Legal,54,7,75.6
45,India,Mizoram,Tier 3,Mixed,Finance & Banking,Medium,Human Resources,HR Manager,Lead,35-44,Male,Master,18,Full-time,0,37.3,75.1,54.2,42.6,76.8,51.2,Monthly,False,2022,Early Adoption,Interpersonal,77.6,100.0,97.7,83.2,22.8,20.2,76,1956.46,5,55746,13.0,64.4,38.8,95.2,86.4,123.7,42.0,71.6,32.1,2023,High Growth,Growing,5,Medium-term (3-5yr),73085,3,2,5,83.2,74.0,47.2,Positive,True,22.05,Engineering,17,9,56.8
46,UAE,Abu Dhabi,Major,Administrative,Technology,Medium,Human Resources,HR Manager,Mid,25-34,Male,Bachelor,7,Full-time,57,34.1,100.0,86.3,30.5,86.0,68.3,Daily,False,2021,Pre-AI,Interpersonal,48.6,77.7,81.6,63.8,30.4,29.8,60,7584.24,2,99896,10.5,55.9,18.8,94.6,85.6,127.0,27.9,80.6,23.1,2021,Stable,Stable,10,Long-term (5-10yr),116246,2,3,5,100.0,47.8,32.6,Positive,False,105.85,Engineering,18,10,56.6
47,India,Maharashtra,Tier 1,Financial Center,Professional Services,Large,Creative & Design,UX Designer,Mid,25-34,Male,Doctorate,8,Full-time,59,27.5,100.0,91.8,30.6,96.2,74.0,Rarely,False,2020,Optimized,Creative,90.0,78.4,87.8,54.8,19.4,5.4,108,6995.76,2,32237,16.8,57.9,3.2,92.9,84.2,129.0,52.7,82.3,26.9,2028,High Growth,Stable,6,Stable,36188,2,4,5,100.0,60.4,88.0,Neutral,True,237.57,Customer Support,56,10,81.5
48,India,Haryana,Tier 1,Tech Hub,Technology,Startup,Customer Service,Help Desk Analyst,Senior,18-24,Male,Bachelor,5,Full-time,52,56.3,100.0,62.3,58.1,71.8,67.0,Monthly,False,2024,AI-Native,Interpersonal,86.9,88.6,74.0,27.6,29.9,46.8,13,783.45,4,54669,15.8,67.6,37.4,77.9,74.4,119.0,67.6,40.6,25.8,2024,Growing,Declining,11,Medium-term (3-5yr),70760,2,3,5,100.0,71.7,83.9,Very Positive,False,0.8,Sales,5,7,71.4
49,India,Maharashtra,Tier 1,Financial Center,Media & Entertainment,Small,Finance & Accounting,Accountant,Manager,35-44,Female,High School,25,Part-time,28,66.1,99.6,66.7,54.1,98.7,38.1,Weekly,False,2017,Early Adoption,Analytical,79.0,93.0,82.1,77.2,22.9,24.7,0,0.0,6,87563,10.3,66.2,49.1,79.8,80.4,131.3,20.9,49.2,39.1,2030,Stable,Stable,12,Medium-term (3-5yr),124220,4,3,4,90.7,68.2,74.7,Very Positive,True,2.67,Legal,14,9,60.5
50,India,Tamil Nadu,Tier 1,Tech Hub,Technology,Medium,Finance & Accounting,Financial Analyst,Senior,35-44,Female,Associate,20,Part-time,64,44.6,100.0,69.2,66.3,71.8,72.7,Weekly,True,2024,Optimized,Analytical,71.3,74.5,87.3,49.6,30.7,25.7,26,3088.29,6,57539,12.0,57.4,34.3,93.9,70.4,131.1,37.8,73.7,19.1,2029,Declining,Declining,9,Medium-term (3-5yr),73971,3,3,4,89.3,71.0,71.4,Neutral,False,22.19,Human Resources,19,5,63.9
